Frequency (Hz)	Level (dB)
3398.437500	-51.171001
3404.296875	-51.288212
3410.156250	-51.325817
3416.015625	-51.121078
3421.875000	-50.994179
3427.734375	-51.263836
3433.593750	-51.218239
3439.453125	-51.139717
3445.312500	-51.011250
3451.171875	-50.970963
3457.031250	-50.921925
3462.890625	-51.158939
3468.750000	-51.538239
3474.609375	-51.185802
3480.468750	-51.186424
3486.328125	-51.094425
3492.187500	-51.304939
3498.046875	-51.032219
3503.906250	-51.084049
3509.765625	-51.220608
3515.625000	-51.088951
3521.484375	-51.150452
3527.343750	-51.015587
3533.203125	-51.011055
3539.062500	-51.339775
3544.921875	-51.362988
3550.781250	-51.501141
3556.640625	-51.105873
3562.500000	-51.100639
3568.359375	-51.300137
3574.218750	-51.537731
3580.078125	-51.512909
3585.937500	-51.720306
3591.796875	-51.682789
3597.656250	-51.809254
3603.515625	-51.382645
3609.375000	-51.621193
3615.234375	-51.628246
3621.093750	-51.434387
3626.953125	-51.446796
3632.812500	-51.543236
3638.671875	-51.529488
3644.531250	-51.560066
3650.390625	-51.605354
3656.250000	-51.548962
3662.109375	-51.478733
3667.968750	-51.507473
3673.828125	-51.777542
3679.687500	-51.856941
3685.546875	-51.600384
3691.406250	-51.694809
3697.265625	-51.616192
3703.125000	-51.840382
3708.984375	-51.873123
3714.843750	-51.712482
3720.703125	-51.874996
3726.562500	-51.744949
3732.421875	-51.753803
3738.281250	-51.656982
3744.140625	-51.507534
3750.000000	-51.617931
3755.859375	-52.016808
3761.718750	-52.153934
3767.578125	-52.067673
3773.437500	-52.312496
3779.296875	-52.346973
3785.156250	-52.087738
3791.015625	-52.129524
3796.875000	-51.976006
3802.734375	-51.868591
3808.593750	-51.913906
3814.453125	-51.878101
3820.312500	-51.974289
3826.171875	-51.999073
3832.031250	-51.993397
3837.890625	-51.973831
3843.750000	-52.026260
3849.609375	-52.134941
3855.468750	-52.219158
3861.328125	-52.029678
3867.187500	-51.961712
3873.046875	-51.843731
3878.906250	-51.992977
3884.765625	-52.309612
3890.625000	-52.275764
3896.484375	-52.176147
3902.343750	-51.994106
3908.203125	-52.189617
3914.062500	-52.259060
3919.921875	-52.252998
3925.781250	-52.463711
3931.640625	-52.591499
3937.500000	-52.306843
3943.359375	-52.005611
3949.218750	-52.336784
3955.078125	-52.386879
3960.937500	-52.226700
3966.796875	-51.929646
3972.656250	-52.061211
3978.515625	-52.687050
3984.375000	-52.558868
3990.234375	-52.341400
3996.093750	-52.397305
4001.953125	-52.523373
4007.812500	-52.396343
4013.671875	-52.309246
4019.531250	-52.494423
4025.390625	-52.579079
4031.250000	-52.384808
4037.109375	-52.304920
4042.968750	-52.534977
4048.828125	-52.583328
4054.687500	-52.515678
4060.546875	-52.524601
4066.406250	-52.436085
4072.265625	-52.489017
4078.125000	-52.724586
4083.984375	-52.580196
4089.843750	-52.603271
4095.703125	-52.617577
4101.562500	-52.748413
4107.421875	-52.659676
4113.281250	-52.693005
4119.140625	-52.576767
4125.000000	-52.644714
4130.859375	-52.686443
4136.718750	-52.807453
4142.578125	-52.845634
4148.437500	-52.833031
4154.296875	-52.827080
4160.156250	-52.866718
4166.015625	-52.702354
4171.875000	-52.653915
4177.734375	-52.893425
4183.593750	-52.769207
4189.453125	-52.569828
4195.312500	-52.819424
4201.171875	-53.073616
4207.031250	-53.038364
4212.890625	-52.898220
4218.750000	-52.788536
4224.609375	-52.650810
4230.468750	-52.628613
4236.328125	-52.624981
4242.187500	-52.727814
4248.046875	-52.615669
4253.906250	-52.879192
4259.765625	-52.960739
4265.625000	-52.995869
4271.484375	-52.883591
4277.343750	-52.771908
4283.203125	-52.932941
4289.062500	-52.943394
4294.921875	-52.961487
4300.781250	-52.935005
4306.640625	-52.874592
4312.500000	-53.158684
4318.359375	-53.154240
4324.218750	-53.050304
4330.078125	-53.025303
4335.937500	-53.131039
4341.796875	-52.843887
4347.656250	-53.228123
4353.515625	-53.359138
4359.375000	-53.105019
4365.234375	-53.070526
4371.093750	-53.272457
4376.953125	-53.188122
4382.812500	-53.199821
4388.671875	-53.071194
4394.531250	-53.132183
4400.390625	-53.136070
4406.250000	-53.137142
4412.109375	-53.315853
4417.968750	-53.307438
4423.828125	-53.263317
4429.687500	-53.381443
4435.546875	-53.440933
4441.406250	-53.154457
4447.265625	-53.225792
4453.125000	-53.584549
4458.984375	-53.171856
4464.843750	-53.153187
4470.703125	-53.171535
4476.562500	-53.045284
4482.421875	-52.956501
4488.281250	-53.227657
4494.140625	-53.267796
4500.000000	-53.462509
4505.859375	-53.638382
4511.718750	-53.315269
4517.578125	-53.377892
4523.437500	-53.283951
4529.296875	-53.269508
4535.156250	-53.354614
4541.015625	-53.410339
4546.875000	-53.397560
4552.734375	-53.410290
4558.593750	-53.293930
4564.453125	-53.438313
4570.312500	-53.712406
4576.171875	-53.943378
4582.031250	-53.911007
4587.890625	-53.481018
4593.750000	-53.420059
4599.609375	-53.641750
4605.468750	-53.731373
4611.328125	-53.810604
4617.187500	-54.014763
4623.046875	-53.907360
4628.906250	-53.671852
4634.765625	-53.525116
4640.625000	-53.638561
4646.484375	-53.704914
4652.343750	-53.766422
4658.203125	-53.804882
4664.062500	-53.846981
4669.921875	-53.589916
4675.781250	-53.649452
4681.640625	-53.827782
4687.500000	-53.695461
4693.359375	-53.778786
4699.218750	-53.666199
4705.078125	-53.490685
4710.937500	-53.468899
4716.796875	-53.547966
4722.656250	-53.625137
4728.515625	-53.807365
4734.375000	-53.917358
4740.234375	-53.633213
4746.093750	-53.901005
4751.953125	-54.119240
4757.812500	-53.798412
4763.671875	-53.853760
4769.531250	-53.688148
4775.390625	-53.822235
4781.250000	-54.080956
4787.109375	-54.024033
4792.968750	-53.717899
4798.828125	-53.654957
4804.687500	-53.734749
