Frequency (Hz)	Level (dB)
4494.140625	-53.266975
4500.000000	-53.457592
4505.859375	-53.638760
4511.718750	-53.309933
4517.578125	-53.376270
4523.437500	-53.277832
4529.296875	-53.268230
4535.156250	-53.353222
4541.015625	-53.412876
4546.875000	-53.395939
4552.734375	-53.413662
4558.593750	-53.287323
4564.453125	-53.439621
4570.312500	-53.713722
4576.171875	-53.948738
4582.031250	-53.910717
4587.890625	-53.478081
4593.750000	-53.416142
4599.609375	-53.641487
4605.468750	-53.725639
4611.328125	-53.809021
4617.187500	-54.014359
4623.046875	-53.906815
4628.906250	-53.671032
4634.765625	-53.524395
4640.625000	-53.635643
4646.484375	-53.699360
4652.343750	-53.762386
4658.203125	-53.804840
4664.062500	-53.847900
4669.921875	-53.595032
4675.781250	-53.651604
4681.640625	-53.831154
4687.500000	-53.695782
4693.359375	-53.779881
4699.218750	-53.669239
4705.078125	-53.489697
4710.937500	-53.470810
4716.796875	-53.550961
4722.656250	-53.626564
4728.515625	-53.812458
4734.375000	-53.913589
4740.234375	-53.632645
4746.093750	-53.896099
4751.953125	-54.119576
4757.812500	-53.794857
4763.671875	-53.855091
4769.531250	-53.685760
4775.390625	-53.824619
4781.250000	-54.083027
4787.109375	-54.024307
4792.968750	-53.713627
4798.828125	-53.654934
4804.687500	-53.736122
4810.546875	-53.826805
4816.406250	-53.784718
4822.265625	-53.836880
4828.125000	-53.907127
4833.984375	-53.869160
4839.843750	-53.885662
4845.703125	-53.966908
4851.562500	-54.009495
4857.421875	-53.901344
4863.281250	-53.927505
4869.140625	-53.925289
4875.000000	-54.263767
4880.859375	-54.281380
4886.718750	-54.143353
4892.578125	-54.216278
4898.437500	-53.817009
4904.296875	-54.075233
4910.156250	-54.187138
4916.015625	-54.193645
4921.875000	-54.083786
4927.734375	-54.365261
4933.593750	-54.257401
4939.453125	-53.991920
4945.312500	-53.945232
4951.171875	-54.041012
4957.031250	-54.348774
4962.890625	-54.629276
4968.750000	-54.471199
4974.609375	-54.359543
4980.468750	-54.130428
4986.328125	-54.031288
4992.187500	-53.982506
4998.046875	-54.327011
5003.906250	-54.498611
5009.765625	-54.331135
