BEGIN (praclist)
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS	LIST
	55,	14,	1,	"z/d+m",	3,	"S",	"zaak, modern, madam, zoen",		2;
	56,	14,	1,	"z/d+m",	4,	"N",	"zag, moeder, modder, zet",		2;
	57,	15,	1,	"k/g+l",	1,	"B",	"ken, golem, gele, kaai",		2;
	58,	15,	1,	"k/g+l",	2,	"W",	"kot, geluk, geloof, kap",		2;
	59,	15,	1,	"k/g+l",	3,	"S",	"kijk, legaat, legaal, kort",		2;
	60,	15,	1,	"k/g+l",	4,	"N",	"koor, lachen, lichaam, koel",		2;
	61,	16,	1,	"g/k+l",	1,	"B",	"gas, kale, koele, geen",		2;
	62,	16,	1,	"g/k+l",	2,	"W",	"gok, kalot, Colijn, gist",		2;
	63,	16,	1,	"g/k+l",	3,	"S",	"gor, lakei, loket, geef",		2;
	64,	16,	1,	"g/k+l",	4,	"N",	"gaf, lokken, lekken, gek",		2;
	65,	17,	1,	"t/d+k",	1,	"B",	"tijd, deken, duiker, top",		2;
	66,	17,	1,	"t/d+k",	2,	"W",	"tuk, decaan, ducaat, tin",		2;
	67,	17,	1,	"t/d+k",	3,	"S",	"teil, kadet, kado, ton",		2;
	68,	17,	1,	"t/d+k",	4,	"N",	"tik, kader, koddig, tal",		2;
	69,	18,	1,	"t/d+p",	1,	"B",	"tuin, dapper, doping, toog",		2;
	70,	18,	1,	"t/d+p",	2,	"W",	"teer, depot, depêche, toon",		2;
	71,	18,	1,	"t/d+p",	3,	"S",	"teek, pedant, pedaal, top",		2;
	72,	18,	1,	"t/d+p",	4,	"N",	"taal, peddel, padden, tok",		2;
	73,	19,	1,	"p/t+k",	1,	"B",	"peet, tekkel, tikker, pook",		2;
	74,	19,	1,	"p/t+k",	2,	"W",	"pet, tekeer, tekort, pof",		2;
	75,	19,	1,	"p/t+k",	3,	"S",	"pees, katoen, katijf, poes",		2;
	76,	19,	1,	"p/t+k",	4,	"N",	"pad, ketel, kater, peins",		2;
	77,	20,	1,	"d/z+l",	1,	"B",	"daad, zuilen, zaling, dal",		2;
	78,	20,	1,	"d/z+l",	2,	"W",	"dek, zeloot, zolang, duit",		2;
	79,	20,	1,	"d/z+l",	3,	"S",	"daan, lazuur, lysol, dop",		2;
	80,	20,	1,	"d/z+l",	4,	"N",	"dog, lozing, lezer, dim",		2;
	81,	21,	1,	"sj/s+f",	1,	"B",	"sjaal, sufferd, saffie, sjees",		2;
	82,	21,	1,	"sj/s+f",	2,	"W",	"sjiek, sofie, saffier, sjah",		2;
	83,	21,	1,	"sj/s+f",	3,	"S",	"sjouw, facet, fossiel, sjaak",		2;
